web_scraper_order,web_scraper_start_url,data,data2,data3,image
"1786124408-1","https://sawa9ly.app/wishlist","Support smartphone réglable pour rétroviseur de voiture 360 degrés","1,450 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/262/38-cm-48.jpg"
"1786124408-2","https://sawa9ly.app/wishlist","3 Étagères Murale en Bois de Décoration  Forme Carrée","1,900 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/970/5.3-9.jpg"
"1786124408-3","https://sawa9ly.app/wishlist","Porte Manteau Piano en Bois 7crochet Design Moderne BLANC-NOIR","1,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/995/38-cm-2023-02-13T151808.288.jpg"
"1786124408-4","https://sawa9ly.app/wishlist","Porte Manteau Piano en Bois 7crochet Design Moderne BLANC-MARRON","1,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/1003/Porte-Manteau-Blanc-Marron-7Cro-CNC.jpg"
"1786124408-5","https://sawa9ly.app/wishlist","Trottinette rabattable pour bébés 3 ans et plus","1,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/2249/ball50pcs-1.jpg"
"1786124408-6","https://sawa9ly.app/wishlist","LED MESSAGE LIGHT BOX -Noir et Blanc","1,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3075/313501412_5543976542350137_3714700089762439692_n.jpg"
"1786124408-7","https://sawa9ly.app/wishlist","Multimètre Portable avec une paire de stylos de Test pour mesurer la tension DC AC et le courant continu YX-1000A","1,050 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3313/0-16.jpg"
"1786124408-8","https://sawa9ly.app/wishlist","GloveLite Gant Lumineux Pour Un Travail Pratique","750 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3434/sg-11134201-22110-9wjrdgi1nyjv7c.jpg"
"1786124408-9","https://sawa9ly.app/wishlist","Tirroire Caisse Eléctronique avec Serrure à Clé Intégrée Mac Tech MT-T190","11,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/19829/mt190.webp"
"1786124408-10","https://sawa9ly.app/wishlist","Caisse à Outils de Réparation 47 pièces MAC-TECH","4,150 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3450/38-cm-4-1.jpg"
"1786124408-11","https://sawa9ly.app/wishlist","Lampe frontale 6000LM COB à Induction Rechargeable 5 Modes","1,150 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3467/38-cm-86.jpg"
"1786124408-12","https://sawa9ly.app/wishlist","Niveau Laser 4en1 Fixit Level pro 3 Outil de musure Polyvalent Ruban De 8 Pieds","1,450 دج","+ أضف إلى السلة","https://sawa9ly.app/storage/64256/mesure.jpg"
"1786124408-13","https://sawa9ly.app/wishlist","Caisse De 40 Clés À Douilles Mixtes 1/4″ Et 3/8″ Aiwa","1,150 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3568/الفولاذ-المقاوم-للصدأ-1-1.jpg"
"1786124408-14","https://sawa9ly.app/wishlist","Balle de Yoga suisse ,Stretches, équilibre, résistance à la tension, gymnastique,fitness a la maison","2,250 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3851/8d1b64b4568cf2f60a50531a1ee7edfa.jpg"
"1786124408-15","https://sawa9ly.app/wishlist","Bande 5Pcs de résistance élastique extensible pour l’entraînement","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/3888/Bande-de-resistance-elastique-Mini-Bande-3.jpg"
"1786124408-16","https://sawa9ly.app/wishlist","Chende Lampe pour miroir de courtoisie 10 psc Hollywood Style","1,700 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/4406/61wdjyPzjdS._AC_SL1200_.jpg"
"1786124408-17","https://sawa9ly.app/wishlist","Barre a fix Extreme de traction Iron Gym  multifonctionnelle antidérapant","3,400 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/6679/1-4.jpg"
"1786124408-18","https://sawa9ly.app/wishlist","Sac à couches pour maman grande capacité  Multi-Usage","1,850 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/7047/Living-Traveling-Share-10.jpg"
"1786124408-19","https://sawa9ly.app/wishlist","Kit de 3 lampes Led sans fil avec télécommande","1,400 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/7054/0-26.jpg"
"1786124408-20","https://sawa9ly.app/wishlist","Finger Exerciseur de doigts pour l’entraînement physique et renforcement des mains","800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/7084/WhatsApp-Image-2023-05-14-a-16.15.359.webp"
"1786124408-21","https://sawa9ly.app/wishlist","Trancheuse à légumes multifonctionnelle","1,900 دج","+ أضف إلى السلة","https://sawa9ly.app/storage/63465/Slice-Thinner-cnc.jpg"
"1786124408-22","https://sawa9ly.app/wishlist","Kit d’arrosage 02 Pcs TOTAL ( thwsk0201 )","2,350 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/8121/KIT-D-ARROSAGE-02PCS-THWSK0201-TOTAL.jpg"
"1786124408-23","https://sawa9ly.app/wishlist","Kit de renforcement de la poignée (5 Pieces) entraîneur de force de préhension, entraînement de l'avant-bras, réglables, renforcement des doigts, anneau et balle anti-stress avec sac de transport مجموعة تقوية قبضة اليد (5 قطع)","1,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/9418/WhatsApp-Image-2023-11-05-at-12.29.28.jpeg"
"1786124408-24","https://sawa9ly.app/wishlist","Sac de rangement universel pour pare-soleil de voiture avec étui à lunettes, porte","1,950 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/9425/sfgsf5487021545slkkjqjcvxcqf.jpg"
